kanji,hiragana/katakana,persian,english
起承転結,きしょうてんけつ,شروع و پایان,
起動,きどう,"بوت کردن ، راه اندازی","start up , boot"
起伏,きふく,بالا و پایین,
輝く,かがやく,درخشیدن,
鬼は外福は内,おにはそとふくはうち,اونی بیرونه و فوکو داخل,
偽物,にせもの,جعلی,
儀式,ぎしき,مراسم,
技術,ぎじゅつ,مهارت,
技術、職業証明書,"ぎじゅつ、しょくぎょう
しょうめいしょ",گواهینامه مهارت فنی و حرفه ای,
技能試験,ぎのうしけん,تست خبرگی,
犠牲にする,ぎせいにする,"قربانی کردن ، فدا کردن",sacrifice
疑い,うたがい,شک,
疑う,うたがう,شک کردن,
疑問詞,ぎもんことば,پرسشی,
疑問文,ぎもんぶん,جملات مشکوک,
義理,ぎり,خویشاوندان,
議論,ぎろん,جلسه بحث و گفتگو,
吉,きち,خوش یمن,good fortune
喫煙所,きつえんしょ,منطقه سیگار کشیدن,
喫茶店,きっさてん,کافه,
詰まらせる,つまらせる,"مسدود کردن ، گرفتگی",jam
詰め込んだ,つめこんだ,بسته بندی شده,
客,きゃく,ارباب رجوع,
客観的,きゃっかんてき,عینی,
客室清掃,かくしつせいそう,نظافت اتاق,
客席,きゃくせき,صندلی مراجعه کننده,
客船,きゃくせん,کشتی مسافربری,
脚,あし,"پا ، پایه",foot
逆に,ぎゃくに,برعکس,
逆上がり,さかあがり,چرخش معکوس,
逆転,ぎゃくてん,برعکس شدن (نتیجه),
逆様,さかさま,وارونه,
休暇,きゅうか,تعطیلات,
休業日,きゅうぎょうび,تعطیلات,
休日,きゅうじつ,تعطیلات مناسبتی,holyday
休日は,きゅうじつは,در تعطیلات,
休日出勤,きゅうじつしゅっきん,کار تعطیلات,
吸う,すう,کشیدن (سیگار),
吸血鬼,きゅうけつき,خون آشام,
急ぐ,いそぐ,عجله کردن,
急な坂,きゅうなさか,شیب تند,
急に,きゅうに,ناگهانی,
急激に,きゅうげきに,فوری عجله ای,urgently
急冷,きゅうれい,خنک کننده سریع,
救急車,きゅうきゅうしゃ,آمبولانس,ambulance
救助,きゅうじょ,نجات,rescue
救助活動,きゅうじょかつどう,عملیات نجات,
求め,もとめ,تقاضا ,
求めて,もとめて,به دنبال ,
求める,もとめる,تقاضا کردن,
求職者,きゅうしょくしゃ,جویای کار,
求人企業,きゅうじんきぎょう,شرکت های استخدام,
究明する,きゅうめいする,تحقیق کردن,
給食,きゅうしょく,ناهار مدرسه,
給付,きゅうふ,فواید,
給付が受け,きゅうふがうけ,مزایای دریافت شده,
給与,きゅうよ,حقوق,
給与所得者,きゅうよしょとくしゃ,حقوق بگیر,
給料が上がる,きゅうりょうがあがる,افزایش حقوق,
給料日,きゅうりょうび,روز حقوق,
牛肩スライス,ぎゅうかた,گوشت کتف گاو,
牛乳,ぎゅうにゅう,شیر,
居間,いま,اتاق نشینمن,living room
居酒屋,いざかや,ایزاکایا,
居住者,きょじゅうしゃ,"ساکن ، مقیم",resident
居住用,きょじゅうよう,مسکونی,
居眠り,いねむり,چرت زدن,
巨人,きょじん,غول,
拒否,きょひ,اجتناب کردن/قبول نکردن /رد,
挙げられる,あげられる,ذکر شده,
挙げる,あげる,ذکر کردن,"raise , name"
挙句,あげく,سرانجام,
許可,きょか,اجازه دادن,
距離,きょり,فاصله,
漁師,りょうし,ماهیگیر,
魚,さかな,ماهی,
魚釣り,さかなつり,ماهیگیری,
競技,きょうぎ,رقابت,competition
競争,きょうそう,رقابت کردن,
競走します,きょうそうします,مسابقه خواهم داد,
共の洗濯機,とものせんたっき,ماشین لباسشویی مشترک,
共稼ぎ,ともかせぎ,درآمد دوگانه,working couple
共感,きょうかん,هم عقیده,empathy
共通,きょうつう,با همدیگر,
共通フレーム,きょうつうふれーむ,قاب مشترک,
共同,きょうどう,مشترک با هم,
共同支援,"きょうどう
しえん",حمایت مشترک,
共同生活,"きょうどう
せいかつ",زندگی مشترک,
共同部分,きょうどうぶぶん,وسایل مشترک,shared parts
共有,きょうゆう,اشتراک گذاری,
共有する,きょうゆうする,اشتراک گذاری,
凶,きょう,"نحس ، بدشانسی",bad fortune
協定,きょうてい,توافق,
協力,きょうりょく,همکاری,
叫びました,さけびました,من دادزدم,
叫ぶ,さけぶ,فریاد,
境界,きょうかい,"مرز ، حد","border,boundary"
境界値,きょうかいち,مقدار مرزی,
強い,つよい,قوی,
強制する,きょうせいする,زور,
強調,きょうちょう,تاکید کردن روی چیزی,
強盗事件,ごうとうじけん,حادثه سرقت,
強風,きょうふう,باد شدید,
恐らく,おそらく,شاید,
恐るしい,おそれるしい,ترسناک,
恐れ入りますか,おそれいりますか,میترسی؟,
恐怖,きょうふ,ترس,
挟まる,はさまる,گیر کردن ,
教える,おしえる,یاددادن گفتن,
教育,きょういく,آموزش و تربیت,
教育課程,"きょういく
かてい",دوره آموزشی,
教科書,きょうかしょ,کتاب درسی,
教科書代,"きょうかしょ
だい",شهریه کتاب درسی,
教材,きょうざい,مواد آموزشی,
教師,きょうし,معلم,
教室,きょうしつ,کلاس درس,
教授,きょうじゅ,استاد / پروفسور,
教職員一同,きょうしょくいんいちどう,کلیه اساتید و کارکنان,
胸,むね,سینه,
胸が熱くなった,むねがあつくなった,دلگرم شدم,
興味,きょうみ,علاقه,
驚く,おどろく,شگفت زده شدن,
仰った,おっしゃった,گفت,
仰向けになる,あおむけになる,به پشت بخواب,
業界,ぎょうかい,"صنعت
",
業務スーパー,ぎょうむすーぱー,سوپرمارکت تجاری,
曲げる,まげる,پیچاندن,
極め,きわめ,بسیار,
極真空手,ごくしんくうしゅ,کیوکوشین کاراته,
極端な,きょくたんな,مفرط,
極美品,ごくみひん,آیتم فوق العاده زیبا,
玉子,たまご,تخم مرغ,
勤める,つとめる,خدمت کردن,
〜勤務,〜きんむ,... کاری,
勤務開始,きんむかいし,آغاز کار ,
勤務時間中,きんむじかんちゅう,مشغول کار بودن,(be) on duty
均一に,きんいつに,به طور مساوی,
禁煙,きんえん,سیگار کشیدن ممنوع,
禁輸,きんゆ,تحریم,
緊急事態,"きんきゅう
じたい","اظطراری 
اورژانسی",
緊張,きんちょう,اظطراب,
緊張が解ける,きんちょうがとける,تنش رو دور کردن ,to dissipate
緊張します。,きんちょうします。,من عصبی هستم.,
緊張する,きんちょうする,عصبی شدن,
襟,えり,یقه,
近く,ちかく,نزدیک,
近寄り難い,ちかよりがたい,سخت نزدیک شدن,
近々会う。,ちかぢかあう。,به زودی می بینمت.,
近頃,ちかごろ,به تازگی,
近所,きんじょ,محله,
近代,きんだい,مدرن,modern
近年,きんねん,سالهای اخیر,
金,かね,پول,
金閣寺,きんかくじ,معبد کینکاکوجی,
金庫,きんこ,گاوصندوق,
金銭,きんせん,"پول ، دارایی نقدی","money , cash"
金平ごぼう,きんぴら,سرخ شده هویج و رنکون و گوبو,
金融,きんゆう,"دارایی ، امور مالی",
金融機関,きんゆうきかん,موسسه مالی,
銀行,ぎんこう,بانک,
銀行口座,ぎんこうこうざ,حساب بانکی,bank account
銀行預金,ぎんこうよきん,سپرده بانکی,
区分,くぶん,طبقه بندی,classification
苦い,にがい,تلخی,
苦しい,くるしい,دشواری,
苦しむ,くるしむ,دشوار بودن,
苦しめる,くるしめる,اذیت شدن,
苦手,にがて,بلد نبودن,
苦情,くじょう,شکایت,
苦悩,くのう,پریشانی,
苦労,（に）くろう,مشکل داشتن با ,
駆け,かけ,عجله,
駆け込み乗車,かけこみじょうしゃ,سواری لحظه آخری,
駆動,くどう,"رانش ، حرکت دادن",
具材,ぐざい,مواد,
具体的に,ぐたいてきに,به طور مشخص,
愚痴る,ぐち,شکایت کردن,
愚弄,ぐろう,طعنه زدن,
空,そら,آسمان,sky
空き缶,あきかん,قوطی خالی,
空くまで,あくまでも,تا آخرش / تا اتمامش,to the end
空気,くうき,هوا,ear
空港,くうこう,فرودگاه,
空白,くうはく,جای خالی,
空欄を埋める,くうらんをうめる,جاهای خالی را پر کنید,
偶数,ぐうすう,عدد زوج,
偶然,ぐうぜん,تصادفاً,
繰り返し,くりかえし,تکرار,
繰り返する,くりかえする,تکرار,
訓練,くんれん,تعلیم دیدن,
係数,けいすう,ضریب,
係長,かかりちょう,رئیس بخش,assistant manager
兄弟,きょうだい,برادران,
型,がた,قالب,
契約更新料,けいやくこうしんりょう,هزینه تمدید قرارداد,
契約手続き,けいやくてつづき,رویه قرارداد,
形,かたち,شکل,
形づくる,かたちづくる,"شکل دادن ، فرم دادن",form
形見,かたみ,یادگاری,
形式,けいしき,شکل رسمی,
形式的,けいしきてき,شکل رسمی,
恵み,めぐみ,لطف,
掲載する,けいさいする,پست,
掲示板,けいじばん,تابلوی اعلانات,
携帯,けいたい,حمل,
携帯電話,けいたいでんわ,تلفن همراه,
敬服する,けいふくする,ارج نهادن,
敬老の日,けいろうのひ,احترام به روز سالمند,
景気が良い,けいき,معیشت مردم,
経営,けいえい,مدیریت,
経営管理,けいえいかんり,مدیریت کسب و کار,
経営者,けいえいしゃ,مدیر,
経験,けいけん,تجربه,experience
経験を積む,"けいけんを
つむ",کسب تجربه,
経済,けいざい,اقتصاد کشور,economics
経済制裁,けいざいせいさい,تحریم اقتصادی,
経済対策,けいざいたいさく,اقدامات اقتصادی,
経済的援助,"けいざい
てきえんじょ",کمک مالی,
経済面,けいざいめん,جنبه اقتصادی,
経由,けいゆ,از طریق,
経由する,けいゆうする,عبور از,
経理,けいり,حسابداری,
経理部,けいりぶ,بخش حسابداری,
継承する,けいしょう,ارث بردن,
継続,けいぞく,ادامه,
繋がる,つながる,"متصل کردن
مرتبط ساختن","connection,bonds"
計画を立てる,けいかくをたてる,طرح دادن,
計算,けいさん,محاسبه کردن,
計算機,けいさんき,ماشین حساب,calculator
警察,けいさつ,افسر پلیس,
警察官,けいさつかん,پلیس,
警備,けいび,برقراری امنیت,
軽くほぐす,かるくほぐす,به آرامی شل کردن مواد,
軽くほぐする,かるくほぐする,شل کردن,
軽く押す,かるくおす,به آرامی فشار دهید,
軽作業,けいさぎょう,کار آسان,
軽視する,けいしする,کوچک شمردن,
鶏レバー,とりればー,جگر مرغ,
芸術,げいじゅつ,هنر,
芸術品,げいじゅつひん,اثر هنری,
迎える,むかえる,استقبال از مسافر,
迎春,げいしゅん,به بهار خوش آمدید,
激しい,はげしい,شدید / قویاً,
激しい人,はげしいひと,شخص خشن,
欠席,けっせき,حضور نیافتن,
欠席する,けっせきする,غایب,
欠点,けってん,عیب,
決して,けっして,هرگز,
決まる,きまる,تصمیم گرفتن,
決める,きめる,تصمیم گرفتن,
決心,けっしん,عزم,
決断,けつだん,تصمیم گیری,decision
決定,けってい,تصمیم گیری,
穴,あな,سوراخ,
穴をあける,あなをあける,سوراخ کردن,drill
結果,けっか,نتیجه,
結果、,けっか、,"نتیجه،",
結局,けっきょく,در آخر,
結構,けっこう,خوب,
結婚,けっこん,ازدواج,
結婚記念日,けっこんきねんび,سالگرد ازدواج,
結婚式,けっこんしき,مراسم ازدواج,
結論,けつろん,نتیجه گیری,
血,ち,خون,blood
月額,げつがく,ماهانه,
月刊誌,げっかんし,ماهنامه,
月極駐車場,つきぎめちゅうしゃじょう,پارکینگ ماهیانه,
月替わり,つきがわり,تغییر ماهانه,
月末,げつまつ,پایان ماه,
健康,けんこう,سلامتی,health
健康管理費,けんこうかんりひ,شهریه چکاپ سلامتی,
健康診断,けんこうしんだん,چکاپ سلامتی,
健全,けんぜん,صحیح / درست,
喧嘩,けんか,درگیر شدن,
嫌い,きらい,دوست نداشتن,
嫌な,いやな,ناخوشایند,
嫌味に,いやみに,طعنه آمیز,
建てる,たてる,ساختن,
建設,けんせつ,ساخت و ساز,
建設的,けんせつてき,سازنده,
建物,たてもの,ساختمان,
憲章,けんしょう,منشور,
検査,けんさ,بازرسی,
検査業務,けんさぎょうむ,کار بازرسی,
検査室,けんさしつ,اتاق امتحان,
検索,けんさく,جستجو کردن,search
検証,けんしょう,تایید,
検針票,けんしんひょう,قبض قرائت کنتور,
検討,けんとう,"در نظر گرفتن 
بررسی کردن",
検便,けんべん,بازرسی مدفوع,
検便検査,けんべんけんさ,ازمایش مدفوع,
検便容器,けんべんようき,ظرف تست مدفوع,
権利証ラベル,けんりしょうらべる,برچسب سند مالکیت,
権力,けんりょく,قدرت,
犬,いぬ,سگ,
犬猿の仲,けんえんのなか,رابطه سگ و میمون,
研究,けんきゅう,"مطالعه ، پژوهش",
研究室,けんきゅうしつ,آزمایشگاه,
研究者,けんきゅうしゃ,پژوهشگر,
研修,けんしゅう,آموزش,
研修生,"けんしゅう
せい",کارآموز,
絹豆腐,きぬどうふう,توفو ابریشمی,
肩が凝る,かたがこる,شانه های سفت,
肩を組む,かたをくむ,دستت رو روی شونه اش بذار,
肩書き,かたがき,عنوان /سمت,
見つける,みつける,پیدا کردن,
見る,みる,دیدن,
見解の相違,けんかいのそうい,اختلاف نظر,
見学,けんがく,بازدید علمی,
見込み,みこみ,انتظار می رود که,
見積,みつもり,برآورد,
見直す,みなおす,مرور کردن,
見当をつける,けんとうをつける,حدث زدم,
見聞録,けんぶんろく,خاطرات,
見放題,みほうだい,مشاهده نامحدود,
見本,みほん,نمونه,
謙虚,けんきょ,فروتن / متواضع,
賢い,かしこい,"باهوش ، عاقل",
険しい,けわしい,"بیان تلخ / جاده
 شب دار/چهره 
عبوس / سرش تیز ",
険しい坂,けわしいさか,شیب تند,
険しい人生,けわしいじんせい,زندگی سخت,
元に戻る,もとにもどる,برگشتن به حالت قبل,
元気,げんき,سرحال,
原因,げんいん,علت,
原因は何ですか?,げんいんはなにですか?,دلیل ش چیه؟,
原始関数,げんしかんすう,تابع اولیه,
原則,げんそく,قاعده کلی,
原則として,げんそくとして,در اصل,
原爆ドーム,げんばくどーむ,گنبد بمب اتمی,
原付,げんつき,اسکوترها,
原本,げんぽん,اصلی(مدرک),
厳し,きびし,شدید,
厳しい,きびしい,سخت گیر,
厳正なる審査の結果,げんせいなるしんさのけっか,نتایج معاینه دقیق,
厳密に,げんみつに,به طور دقیق,
減らす,へらす,کاهش دادن,
減る,へる,کاهش یافتن,
減少する,げんしょうする,کاهش دادن,to decrease
玄関,げんかん,ورودی خانه,
現れる,あらわれる,به نظر میاد,
現時点,げんじてん,در حال حاضر,
現実,げんじつ,واقعیت,reality
現住所,げんじゅうしょ,آدرس فعلی,
現代,げんだい,امروز,
言いつける,いいつける,خبر داد,tell
言い出す,いいだす,حرفش رو زد,start saying
言い訳,いいわけ,بهانه گیر,
言う,いう,گفتن,
言語,げんご,زبان,
言葉,ことば,کلمه ها,
限られている,かぎられている,محدودیت داره,to be limited
個人的な,こじんてきな,شخصی,
個人番号カード,こじんばんごうかーど,کارت شماره فردی,
個数,こすう,تعداد قطعات,counta
個別,こべつ,انفرادی,
個別面談,こべつめんだん,مصاحبه فردی,
呼び合っている,よびあっている,صدا میزنند,
呼ぶ,よぶ,صدا زدن,call
呼吸,こきゅう,نفس کشیدن,
固い,かたい,سفت /سخت,
固まり,かたまり,سفت شدن (تخم مرغ),
固体,こたい,جامد,solid object
孤独感,こどくかん,تنهایی,
故障,こしょう,خرابی,
枯れる,かれる,پژمرده شدن,to wither
湖,みずうみ,دریاچه,
狐,きつね,روباه,
胡麻和え,ごまあえ,سس کنجد,
雇う,やとう,استخدام,
互い,たがい,یکدیگر,
互角,ごかく,۵ ضلعی,
互換,ごかん,سازگار,
互換性,ごかんせい,سازگاری,
午後,ごご,بعدازظهر,
午前,ごぜん,صبح,
後にする,あとにする,"تآخیر ، تعویق",
後回し,あとまわし,موکول کردن,postpone
後悔,こうかい,پشیمان شدن. پشیمانی,
後継,こうけい,وارث / جانشین,
後半は,こうはんは,نیمه دوم,
御菓子,ごかし,شیرینی,
御徒町駅,おかちまちえき,ایستگاه اوکاچیماچی,
語り,かたり,　روایت,
語学,ごがく,زبان شناسی,
語句,ごく,عبارات,
語彙,ごい,واژگان,vocabulary
誤る,あやまる,اشتباه کردن,
誤解,ごかい,سوء تفاهم,
"誤解を
招いてしまった","ごかいを
まねきました",باعث سوء تفاهم شد,
誤差,ごさ,خطا,
交じる,まじる,همراه شدن,
交ぜる,まぜる,"ترکیب کردن
شکست یک خط",
交換する,こうかんする,تبادل,exchange
交換の品,こうかんのしな,کالای معاوضه ای,replacement
交差点,こうさてん,تقاطع,
交際,こうさい,مصاحبت,
交代,こうたい,جایگزین شدن,
交通,こうつう,وسایل رفت وآمد,
交通機関,こうつうきかん,امکانات حمل و نقل,
交通事故,こうつうじこ,تصادف,
交通費,こうつうひ,هزینه رفت و آمد,
交通網,こうつうもう,شبکه حمل و نقلی,
交点,こうてん,تقاطع,
交番,こうばん,دکه پلیس,
交付,こうふ,تحویل,
交付のご案内,こうふのごあんない,راهنمایی در مورد تحویل,
交流,こうりゅう,تبادل,
交流する,こうりつ,هم صحبتی,chat with
光ケーブル対応,ひかりケーブルたいおう,کابل فیبر نوری,
光る,ひかる,درخشیدن,
光熱費,こうねつひ,هزینه های آب و برق,
公園,こうえん,پارک,
公開講座,こうかいこうざ,سخنرانی باز,
公開日,こうかいび,تاریخ انتشار,
公害,こうがい,آلودگی زیست محیطی,environmental pollution
公式サイト,こうしきさいと,سایت رسمی,
公理的,こうりてき,بدیهی,
効き,きき,اثربخشی,
効く,きく,اثر کردن,
効果,こうか,تأثیر,
厚かましい,あつかましい,"بی پرده ، پر رو ، بی ملاحظه",brazen
厚み,あつみ,ضخامت,
厚紙,あつがみ,مقوا,
厚生労働省,こうせいろうどうしょう,وزارت بهداشت کار و رفاه,
口,くち,دهان,
口をきく,くちをきく,صحبت,
口々に,くちぐちに,یکی پس از دیگری,
口々に叫ぶ,くちぐちにさけぶ,با صدای بلند فریاد بزن,
口座,こうざ,حساب,
口座振替,こうざふりかえ,انتقال حساب,
口出す,くちだす,وسط صحبت پریدن,
口鍛冶橋駐車場,くちたんやきょうちゅうしゃじょう,پارکینگ کوچیکاجی باشی,
口調,くちょう,لحن,
向かう,むかう,چرخاندن رو,
向かっている,むかっている,در راه به سمت,
向ける,むける,"چرخاندن سر به
سمت",
向こうで,むこうで,در آنجا,
向学心,こうがくしん,اشتیاق به یادگیری,
喉,のど,گلو,
好き,すき,دوست داشتنی,
好みです,このみです,خوشم می آید,
好奇心,こうきしん,کنجکاوی,
工業高等学校,こうぎょうこうとがっこう,"مدرک پایان تحصیلات دبیرستان
 فنی",
工作機械の修理,こうさくきかいのしゅうり,تعمیر ماشین ابزار,
工作許可,こうさくきょか,دریافت مجوز کار,
工事現場,こうじげんば,محل احداث ساختمان,construction site
工場,こうじょう,کارخانه,factory
工程変更,こうていへんこう,تغییر فرآیند,
工夫,くふう,با استعداد  / نابغه,
工夫した,くふうした,ابداع کرد,
幸い,さいわい,خوشبختانه,luckily
幸福な,こうふくな,شاد/ خوشحال,
﻿広げて,ひろげて,پخش کردن,
広げる,ひろげる,گسترش دادن,
広域帯,こういきたい,باند پهن,
広告,こうこく,تبلیغات,
広範な,こうはんな,گسترده,
広報課,こうほうか,بخش روابط عمومی,
慌ただしく,あわただしく,با عجله,
控える,ひかえる,خودداری,
控除計,こうじょけい,مجموع کسر,
攻撃,こうげき,حمله کنند,
更新,こうしん,بروز رسانی,
更新料,こうしんりょう,هزینه تمدید,
〜校,〜こう,مدرسه ,
校庭,こうてい,حیاط مدرسه,
構築,こうちく,ساخت و ساز,construction
洪水 死者,こうずいししゃ,مرده سیل,
港,みなと,بندر,
紅茶,こうちゃ,چای سیاه,
紅白なます,こうはくなます,سالاد سفید قرمز,
紅葉,もみじ,برگ های پاییزی,
絞る,しぼる,"چلاندن، فشار دادن  گنجاندن",
考える,かんがえる,فکر کردن,
考察する,こうさつ,در نظر گرفتن,
考慮,こうりょ,در نظر گرفته شود,
肯定,こうてい,مثبت,
航空,こうくう,هوایی (پرواز),
航空便,こうくうびん,پست هوایی,
荒い,あらい,"خشن ، زمخت",harsh/rough
荒らす。,あらす,خرابکاری کردن,
荒れる,あれる,"نامناسب (دریا ، هوا)",
荒天,こうてん,هوای بد,
行,ぎょう,ردیف,
行う,おこなう,انجام دادن,
行く,いく,رفتن,go
行為を,こういを,عمل کنید,
行為者。,こういしゃ。,انجام دهنده.,
行団,ぎょうだん,گروه,
行動,こうどう,"عمل ، اقدام",
行動する,こうどう,عمل . اقدام ,
行列,ぎょうれつ,ماتریس,
講義,こうぎ,سخنرانی,
購入,こうにゅう,خرید,
購入費,こうにゅうひ,هزینه خرید,
鉱物,こうぶつ,معدنی,mineral
降ろす,おろす,خالی کردن بار,
香港,ほんこん,هنگ کنگ,
高い順,たかいじゅん,روی بالایی,
高級車,こうきゅうしゃ,ماشین لوکس,
高校生,こうこうせい,دبیرستان ارشد,
高収入,こうしゅうにゅう,درآمد بالا,
高速,こうそく,پرسرعت,high-speed
高速試作,こうそくしさく,نمونه سازی سریع,repaid prototyping
高速転送,こうそくてんそう,انتقال با سرعت بالا,
高田校舎,たかだこうしゃ,ساختمان مدرسه تاکادا,
高等学校,こうとうがっこう,دبیرستان,
高得点,こうとくてん,نمره بالا,
高熱,こうねつ,تب شدید,
高齢化,こうれいか,سالخورده,to gray age
高齢者,こうれいしゃ,افراد مسن,senior citizen
号令,ごれい,فرمان,command
合コンな,ごうこん,قرار گروهی,
合意,ごうい,توافق,
合格,ごうかく,پاس شدن,
合格通知,ごうかくつうち,اطلاعیه موفقیت,
合間,あいま,در حین,in between
合計,ごうけい,مجموعاً,
合否,ごうひ,قبولی یا مردودی,pass or fail
合否結果,ごうひけっか,نتیجه قبولی شکست,
合否通知,ごうひつうち,اعلان موفقیت یا شکست,
刻む,きざむ,"خرد کردن ، حک کردن",to chap/ to engrave
国家,こっか,کشور,
国家試験受験料,"こっかしけん
じゅけんりょう",شهریه آزمون سراسری,
国家試験対策費,"こっかしけん
たいさくひ",هزینه آمادگی آزمون سراسری,
国家資格取得,"こっかしかく
しゅとく",کسب صلاحیت ملی,
国会議事堂,こっかいぎじどう,مجلس نمایندگان,
国際,こくさい,بین المللی,
国際業務,こくさいぎょうむ,امور بین الملل,
国籍番号,こくせきばんご,شماره ملی,
国籍番号: 1294,こくせきばんごう:1294,شماره ملیت: 1294,
国民,こくみん,مردم,
国名,こくめい,نام کشور,
国立競技場,こくりつきょうぎじょう,ورزشگاه ملی,
国立高校,こくりつこうこう,دبیرستان ملی,
国立大学,こくりつだいがく,دانشگاه ملی,
国連の仕事,こくれんのしごと,کار سازمان ملل,
黒い,くろい,سیاه,
黒いしっぽのカラス,くろいしっぽのからす,کلاغ با دم سیاه,
腰,こし,کمر,waist
腰の辺り,こしのあたり,دور کمر,
骨,ほね,استخوان,bone
骨折,こっせつ,"شکست، شکستگی",
頃,ころ,زمان,
今では,いまでは,اکنون,
今回,こんかい,این بار,
今後も,こんごも,در آینده,
今更,いまさら,الان دیگه دیره,
今度,こんど,دفعه دیگه,
今日のおすすめ,きょうのおすすめ,توصیه امروز,
今日の夕方,きょうのゆうがた,عصر امروز,
今日はじめじめしています。,きょうはじめじめしています。,امروز دارم خیس میشم,
今年はあっという間に過ぎていく,ことしはあっというまにすぎていく,امسال زود میگذره,
今晩電話,こんばんでんわ,امشب تماس بگیرید,
今夜,こんや,امشب,
困った,こまった,غیر منطقی,
困る,こまる,به دردسر افتادن,
困難,こんなん,دشوار,
困難を乗り越える,こんなんをのりこえる,غلبه بر مشکلات,
恨み,うらみ,رنجش,
恨み節,うらみぶし,جشنواره کینه,
恨み節位,うらみぶしい,رنجش,
恨む,うらむ,کینه داشتن,
根,ね,ریشه (پیازچه),
根本原因,ねもとげんいん,علت اصلی,
梱包,こんぽう,بسته بندی,
混ぜる,まぜる,مخلوط کردن,
混乱する,こんらんする,گیج کننده شوید,
些細な,ささいな,ناچیز / کوچک/بی اهمیت,
差がある,さがある,یه تفاوت وجود دارد,
差がない,さがない,فرقی نداره,
差分バックアップ,さぶんバックアップ,پشتیبان گیری تفاوتی ,
差別,さべつ,تبعیض,
査証,さしょう,ویزا,
査証取得,さしょうしゅとく,اخذ ویزا,
砂糖,さとう,شکر,
砂漠化,さばくか,کویری شدن,
砂浜浜辺,すなはまはまべ,ساحل شنی,
詐欺,さぎ,کلاهبرداری,scam
座る,すわる,نشستن,
座席,ざせき,صندلی وسیله نقلیه,
座標,ざひょう,مختصات,
催す,もよおす,نگه دارید,
催眠,さいみん,هیپنوتیزم,
再び,ふたたび,دوباره,"again,for a second time"
再生する,さいせいする,تکثیر,
再度,さいど,دوباره,again
再配布,さいはいふ,توزیع مجدد,
再発防止,さいはつぼうし,اقدام پیشگیرانه,
再来週,さらいしゅう,هفته بعد از بعدی,
最悪ですね。,さいあくですね。,این بدترین است.,
最寄り,もより,نزدیکترین,
最寄駅,もよりえき,نزدیکترین ایستگاه,
最近,さいきん,اخیرا,these days
最後,さいご,در نهایت,
最後の状態,さいごのじょうたい,آخرین وضعیت,
最高,さいこう,بهترین,
最高気温,さいこうきおん,بالاترین دما,
最終,さいしゅう,نهایی,
最終学歴,さいしゅうがくれき,آخرین سابقه تحصیلی,
最初,さいしょ,اولش,
最小,さいしょう,کمترین,min
最小限,さいしょうげん,به حداقل رساندن,
最先端の技術,さいせんたんのぎじゅつ,تکنولوژی پیشرفته,
最前列,さいぜんれつ,ردیف جلو,
最善,さいぜん,بهتر بودن,
最大,さいだい,بیشترین,max
最短,さいたん,کوتاه ترین,
最低価格,さいていかかく,پایین ترین قیمت,
最低気温,さいていきおん,کمترین دما,
最良日,さいりょうび,بهترین روز,
才子,さいし,با استعداد /باهوش,
才能,さいのう,استعداد,
採取する,さいしゅする,جمع آوری کنید,
採点,さいてん,درجه بندی,
採用,さいよう,انتخاب یک نفر,
済ます,すます,تمام کردن ,
済ませる,すませる,انجام دادن,
済みます,すみます,تمام کردن,
災害救助,さいがいきゅうじょ,تسکین فاجعه,
祭り,まつり,جشن,
細かい,こまかい,با جزئیات,
細胞培養器,さいぼうばいようき,دستگاه رشد سلولی,
裁判,さいばん,محاکمه کردن,
裁判所,さいばんしょ,دادگاه,
裁量労働制,さいりょうろうどうせい,سیستم کار اختیاری,
〜際,〜さい,هنگام,
際立つ,きわだつ,برجسته شدن,
在学,ざいがく,در حال حاضر در مدرسه ثبت نام کرده,
在庫,ざいこ,موجودی,
在庫管理,ざいこかんり,مدیریت سهام,
在職中,ざいしょくちゅう,شغلی که انجام میدم,
在籍する,ざいせき,ثبت نام کردن,
在籍証明書,ざいせきしょうめいしょ,گواهی ثبت نام,
在宅勤務,ざいたくきんむ,از راه دور کار کنید,
在留カード,ざいりゅうカード,کارت اقامت,
在留資格,ざいりゅうしかく,صلاحیت اقامت,
材料,ざいりょう,مواد تهیه کننده,material
罪を犯す,つみをおかす,ارتکاب جرم,
財政的,ざいせいてき,مالی,
財政的支援,ざいせいてきしえん,حمایت مالی,funding
財布,さいふ,کیف پول,
財務,ざいむ,"دارایی، مالیه، سرمایه گذاری",
財務諸表,ざいむしょひょう,صورت های مالی,
財務省,ざいむしょう,وزارت امور مالی,
咲く,さく,شکوفه دادن,
作る,つくる,ساختن,
作業,さぎょう,"کاری که تصمیم 
بگیری انجام بدی",
作業長,さぎょうちょう,"سرپرست کار ، رئیس کار",head of operations
作曲家,さっきょくか,آهنگساز,
作成,さくせい,ایجاد کردن,
作文,さくぶん,انشا,
作文まだの人,さくぶんまだのひと,کسی که هنوز ننوشته,
削除,さくじょ,حذف,
昨日,さくじつ,روز اول ماه,
昨年,さくねん,سال گذشته,
桜,さくら,گیلاس,
笹塚,ささずか,ساسازوکا,
撮影する,さつえいする,عکس گرفتن,
札,さつ,صورتحساب,
札幌の雪祭り,さっぽろのゆきまつり,جشنواره برف ساپورو,
殺す,ころす,کشتن,
雑音,ざつおん,سر و صدا,
雑巾,ぞうきん,دستمال گردگیر,
雑誌,ざっし,مجله,
